numdate,Plague,Buried
1593.208,3,230
1593.227,31,251
1593.247,29,219
1593.266,27,307
1593.285,33,203
1593.304,37,290
1593.323,41,310
1593.342,29,250
1593.362,38,339
1593.381,42,300
1593.400,58,450
1593.419,62,410
1593.438,81,441
1593.458,99,399
1593.477,108,401
1593.496,118,850
1593.515,927,1440
1593.534,893,1510
1593.553,258,1491
1593.573,852,1507
1593.592,983,1503
1593.611,797,1550
1593.630,651,1532
1593.649,449,1508
1593.668,507,1490
1593.688,563,1210
1593.707,455,621
1593.726,349,629
1593.745,330,450
1593.764,327,408
1593.784,323,422
1593.803,308,330
1593.822,302,320
1593.841,301,310
1593.860,209,309
1593.879,107,301
1593.899,93,321
1593.918,94,349
1593.937,86,331
1593.956,71,329
1593.975,39,386
1603.016,,
1603.036,,
1603.055,,
1603.074,,
1603.093,,
1603.112,,
1603.132,,
1603.151,,
1603.170,,
1603.189,,
1603.208,3,108
1603.227,2,60
1603.247,6,78
1603.266,4,66
1603.285,4,79
1603.304,8,98
1603.323,10,109
1603.342,11,90
1603.362,18,112
1603.381,22,122
1603.400,32,122
1603.419,30,114
1603.438,43,131
1603.458,39,144
1603.477,72,182
1603.496,158,267
1603.515,263,445
1603.534,424,612
1603.553,917,1186
1603.573,1297,1728
1603.592,1922,2256
1603.611,1745,2077
1603.630,2713,3054
1603.649,2539,2853
1603.668,3035,3385
1603.688,2724,3078
1603.707,2818,3129
1603.726,2195,2456
1603.745,1732,1961
1603.764,1641,1831
1603.784,1146,1312
1603.803,642,766
1603.822,501,625
1603.841,594,737
1603.860,442,685
1603.879,251,384
1603.899,105,198
1603.918,102,223
1603.937,52,163
1603.956,96,200
1603.975,74,168
1605.795,,
1605.814,,
1605.833,,
1605.852,,
1605.871,,
1605.890,,
1605.910,,
1605.929,,
1605.948,,
1605.967,,
1605.986,5,116
1606.005,6,151
1606.025,4,138
1606.044,3,138
1606.063,6,121
1606.082,3,101
1606.101,5,105
1606.121,7,118
1606.140,12,109
1606.159,9,117
1606.178,7,98
1606.197,9,137
1606.216,14,133
1606.236,17,123
1606.255,13,114
1606.274,27,145
1606.293,12,129
1606.312,11,110
1606.332,17,136
1606.351,13,103
1606.370,13,94
1606.389,14,132
1606.408,9,98
1606.427,16,112
1606.447,19,112
1606.466,15,119
1606.485,24,126
1606.504,25,110
1606.523,33,134
1606.542,50,146
1606.562,46,140
1606.581,66,178
1606.600,67,181
1606.619,75,197
1606.638,85,189
1606.658,85,207
1606.677,116,241
1606.696,105,216
1606.715,92,214
1606.734,87,204
1606.753,141,256
1606.773,106,218
1606.792,117,227
1606.811,109,224
1606.830,101,226
1606.849,68,183
1606.868,41,162
1606.888,28,145
1606.907,22,123
1606.926,45,160
1606.945,38,137
1606.964,28,132
1606.984,38,135
1607.003,38,150
1607.022,26,115
1607.041,16,121
1607.060,14,106
1607.079,28,134
1607.099,33,158
1607.118,20,147
1607.137,17,149
1607.156,14,120
1607.175,20,127
1607.195,30,130
1607.214,33,138
1607.233,22,124
1607.252,13,123
1607.271,23,138
1607.290,27,146
1607.310,26,133
1607.329,43,125
1607.348,17,94
1607.367,15,128
1607.386,25,126
1607.405,13,116
1607.425,11,100
1607.444,10,90
1607.463,14,86
1607.482,21,126
1607.501,27,112
1607.521,33,117
1607.540,37,154
1607.559,51,152
1607.578,43,156
1607.597,77,187
1607.616,69,172
1607.636,76,189
1607.655,71,175
1607.674,105,232
1607.693,123,243
1607.712,124,264
1607.732,177,302
1607.751,150,283
1607.770,113,230
1607.789,110,223
1607.808,82,215
1607.827,63,198
1607.847,66,196
1607.866,55,186
1607.885,46,148
1607.904,21,130
1607.923,19,126
1607.942,28,122
1607.962,7,131
1607.981,9,129
1608.000,4,148
1608.019,3,120
1608.038,4,130
1608.058,3,130
1608.077,2,141
1608.096,4,112
1608.115,0,132
1608.134,6,150
1608.153,1,117
1608.173,7,123
1608.192,3,136
1608.211,2,137
1608.230,5,127
1608.249,4,114
1608.268,1,140
1608.288,4,134
1608.307,6,163
1608.326,4,147
1608.345,7,125
1608.364,6,140
1608.384,7,125
1608.403,11,138
1608.422,10,133
1608.441,14,139
1608.460,10,122
1608.479,13,138
1608.499,16,116
1608.518,16,134
1608.537,26,162
1608.556,24,156
1608.575,50,233
1608.595,45,184
1608.614,70,191
1608.633,79,203
1608.652,73,197
1608.671,123,275
1608.690,136,250
1608.710,107,248
1608.729,143,273
1608.748,147,296
1608.767,103,239
1608.786,131,258
1608.805,124,247
1608.825,102,241
1608.844,109,236
1608.863,72,189
1608.882,69,205
1608.901,70,205
1608.921,90,240
1608.940,68,194
1608.959,75,197
1608.978,53,190
1608.997,39,165
1609.014,56,189
1609.033,60,201
1609.052,81,226
1609.071,67,197
1609.090,56,187
1609.110,90,228
1609.129,62,204
1609.148,46,177
1609.167,32,173
1609.186,43,184
1609.205,33,166
1609.225,68,230
1609.244,89,236
1609.263,73,232
1609.282,93,237
1609.301,86,235
1609.321,99,274
1609.340,92,252
1609.359,89,242
1609.378,93,222
1609.397,66,194
1609.416,52,188
1609.436,65,215
1609.455,36,158
1609.474,43,153
1609.493,47,182
1609.512,60,194
1609.532,57,198
1609.551,58,189
1609.570,91,229
1609.589,100,239
1609.608,126,280
1609.627,101,264
1609.647,150,296
1609.666,177,364
1609.685,141,300
1609.704,158,335
1609.723,210,386
1609.742,144,311
1609.762,154,306
1609.781,177,335
1609.800,131,313
1609.819,55,199
1609.838,84,237
1609.858,69,224
1609.877,67,234
1609.896,59,187
1609.915,51,181
1609.934,18,139
1609.953,23,150
1609.973,23,148
1609.992,39,161
1610.011,32,168
1610.030,19,144
1610.049,31,159
1610.068,27,152
1610.088,21,140
1610.107,11,133
1610.126,18,132
1610.145,10,149
1610.164,7,144
1610.184,6,142
1610.203,17,150
1610.222,8,137
1610.241,7,139
1610.260,8,140
1610.279,13,142
1610.299,15,168
1610.318,14,145
1610.337,21,160
1610.356,19,130
1610.375,18,131
1610.395,11,128
1610.414,13,128
1610.433,9,143
1610.452,14,158
1610.471,26,177
1610.490,25,162
1610.510,38,194
1610.529,45,187
1610.548,45,171
1610.567,40,187
1610.586,47,187
1610.605,50,234
1610.625,73,250
1610.644,60,208
1610.663,99,294
1610.682,96,286
1610.701,89,272
1610.721,86,256
1610.740,72,254
1610.759,63,219
1610.778,79,221
1610.797,59,197
1610.816,49,187
1610.836,58,187
1610.855,40,196
1610.874,22,160
1610.893,42,163
1610.912,39,179
1610.932,15,142
1610.951,12,146
1610.970,26,148
1624.789,,
1624.808,,
1624.827,,
1624.847,,
1624.866,,
1624.885,,
1624.904,,
1624.923,,
1624.942,,
1624.962,,
1624.981,0,183
1625.000,0,211
1625.016,1,220
1625.036,1,196
1625.055,0,240
1625.074,0,226
1625.093,3,174
1625.112,5,204
1625.132,3,211
1625.151,1,252
1625.170,0,207
1625.189,0,210
1625.208,4,262
1625.227,8,226
1625.247,11,243
1625.266,10,239
1625.285,24,256
1625.304,25,230
1625.323,26,305
1625.342,30,292
1625.362,45,332
1625.381,71,379
1625.400,78,401
1625.419,69,395
1625.438,91,434
1625.458,165,510
1625.477,239,640
1625.496,390,942
1625.515,593,1222
1625.534,1004,1741
1625.553,1819,2850
1625.573,2471,3583
1625.592,3659,4517
1625.611,4115,4855
1625.630,4463,5205
1625.649,4218,4841
1625.668,3344,3897
1625.688,2550,3157
1625.707,1672,2148
1625.726,1551,1994
1625.745,852,1236
1625.764,538,838
1625.784,511,815
1625.803,331,651
1625.822,134,375
1625.841,89,357
1625.860,92,319
1625.879,48,274
1625.899,27,231
1625.918,15,190
1625.937,15,181
1625.956,6,168
1629.789,,
1629.808,,
1629.827,,
1629.847,,
1629.866,,
1629.885,,
1629.904,,
1629.923,,
1629.942,,
1629.962,,
1629.981,0,141
1630.000,0,145
1630.019,0,156
1630.038,0,140
1630.058,0,150
1630.077,0,147
1630.096,0,151
1630.115,0,124
1630.134,0,163
1630.153,0,162
1630.173,0,170
1630.192,2,161
1630.211,4,153
1630.230,0,172
1630.249,1,161
1630.268,2,183
1630.288,11,173
1630.307,7,188
1630.326,3,165
1630.345,15,196
1630.364,13,194
1630.384,20,187
1630.403,24,209
1630.422,17,193
1630.441,19,192
1630.460,13,180
1630.479,19,205
1630.499,25,209
1630.518,43,217
1630.537,50,250
1630.556,40,229
1630.575,77,279
1630.595,56,250
1630.614,65,246
1630.633,54,269
1630.652,67,270
1630.671,66,230
1630.690,63,259
1630.710,68,264
1630.729,57,274
1630.748,56,269
1630.767,66,236
1630.786,73,261
1630.805,60,248
1630.825,34,214
1630.844,29,242
1630.863,29,215
1630.882,18,200
1630.901,7,226
1630.921,20,221
1630.940,19,198
1630.959,5,217
1635.789,,
1635.808,,
1635.827,,
1635.847,,
1635.866,,
1635.885,,
1635.904,,
1635.923,,
1635.942,,
1635.962,,
1635.981,0,170
1636.000,0,174
1636.019,0,189
1636.038,0,174
1636.058,0,190
1636.077,0,171
1636.096,0,183
1636.115,0,160
1636.134,0,203
1636.153,0,238
1636.173,0,198
1636.192,0,194
1636.211,0,187
1636.230,0,177
1636.249,0,196
1636.268,2,199
1636.288,4,205
1636.307,7,205
1636.326,4,210
1636.345,4,206
1636.364,41,254
1636.384,22,244
1636.403,38,263
1636.422,51,276
1636.441,64,275
1636.460,86,325
1636.479,65,257
1636.499,82,271
1636.518,64,265
1636.537,86,298
1636.556,108,350
1636.575,136,365
1636.595,181,394
1636.614,244,465
1636.633,284,546
1636.652,380,690
1636.671,536,835
1636.690,567,921
1636.710,728,1106
1636.729,645,1018
1636.748,796,1211
1636.767,790,1195
1636.786,682,1117
1636.805,476,855
1636.825,404,779
1636.844,755,1156
1636.863,635,966
1636.882,512,827
1636.901,408,747
1636.921,291,550
1636.940,143,385
1636.959,79,324
1636.978,67,263
1636.997,108,318
1637.014,118,333
1637.033,66,260
1637.052,51,223
1637.071,69,248
1637.090,92,293
1637.110,92,270
1637.129,73,250
1637.148,38,218
1637.167,57,214
1637.186,88,274
1637.205,67,255
1637.225,57,222
1637.244,101,299
1637.263,86,250
1637.282,67,235
1637.301,81,252
1637.321,92,264
1637.340,72,251
1637.359,85,242
1637.378,66,250
1637.397,67,255
1637.416,61,232
1637.436,58,218
1637.455,93,223
1637.474,83,246
1637.493,133,314
1637.512,141,303
1637.532,109,254
1637.551,125,263
1637.570,86,256
1637.589,63,223
1637.608,62,228
1637.627,49,213
1637.647,38,178
1637.666,25,170
1637.685,31,181
1637.704,19,171
1637.723,19,150
1637.742,24,167
1637.762,14,135
1637.781,14,164
1637.800,9,135
1637.819,7,151
1637.838,12,169
1637.858,9,186
1637.877,2,190
1637.896,5,190
1637.915,11,173
1637.934,10,168
1637.953,10,173
1639.775,,
1639.795,,
1639.814,,
1639.833,,
1639.852,,
1639.871,,
1639.890,,
1639.910,,
1639.929,,
1639.948,,
1639.967,3,197
1639.986,4,143
1640.005,8,172
1640.025,2,184
1640.044,2,178
1640.063,1,181
1640.082,0,220
1640.101,1,213
1640.121,3,217
1640.140,1,257
1640.159,1,222
1640.178,3,233
1640.197,3,263
1640.216,4,232
1640.236,4,236
1640.255,3,247
1640.274,1,231
1640.293,4,208
1640.312,2,219
1640.332,3,239
1640.351,5,212
1640.370,6,219
1640.389,13,219
1640.408,10,193
1640.427,19,224
1640.447,34,238
1640.466,15,236
1640.485,25,207
1640.504,26,213
1640.523,26,209
1640.542,30,225
1640.562,41,250
1640.581,52,237
1640.600,68,266
1640.619,81,298
1640.638,98,320
1640.658,89,336
1640.677,98,343
1640.696,105,331
1640.715,98,331
1640.734,94,332
1640.753,69,314
1640.773,63,314
1640.792,55,294
1640.811,42,260
1640.830,24,246
1640.849,17,210
1640.868,33,240
1640.888,23,228
1640.907,13,224
1640.926,9,220
1640.945,6,219
1640.964,10,271
1640.984,4,374
1641.003,3,322
1641.019,3,220
1641.038,4,194
1641.058,5,222
1641.077,3,218
1641.096,2,214
1641.115,6,235
1641.134,5,219
1641.153,3,259
1641.173,2,232
1641.192,2,242
1641.211,3,233
1641.230,3,234
1641.164,8,226
1641.268,5,272
1641.288,4,229
1641.307,7,267
1641.326,7,225
1641.345,12,241
1641.364,13,254
1641.384,11,234
1641.403,16,245
1641.422,27,289
1641.441,20,300
1641.460,19,268
1641.479,15,256
1641.416,33,305
1641.518,28,304
1641.537,42,311
1641.556,56,376
1641.575,74,458
1641.595,100,467
1641.614,80,507
1641.633,131,558
1641.652,139,610
1641.671,183,703
1641.690,185,659
1641.710,197,652
1641.729,239,660
1641.748,204,630
1641.767,239,654
1641.786,234,604
1641.805,184,518
1641.825,144,464
1641.844,106,408
1641.863,79,337
1641.882,61,316
1641.901,44,296
1641.921,41,279
1641.940,15,245
1641.959,17,246
1641.978,25,208
1641.997,51,267
1642.016,16,253
1642.036,11,202
1642.055,14,208
1642.074,31,234
1642.093,29,214
1642.112,23,250
1642.132,14,187
1642.151,26,231
1642.170,17,239
1642.189,18,232
1642.208,5,214
1642.227,13,219
1642.247,17,204
1642.266,23,213
1642.285,20,190
1642.304,22,205
1642.323,20,239
1642.342,21,241
1642.362,29,230
1642.381,25,245
1642.400,27,217
1642.419,37,211
1642.438,25,208
1642.458,23,202
1642.477,14,178
1642.496,15,164
1642.515,18,163
1642.534,24,165
1642.553,24,170
1642.573,29,187
1642.592,30,185
1642.611,48,224
1642.630,48,224
1642.649,58,236
1642.668,60,227
1642.688,70,274
1642.707,66,279
1642.726,103,351
1642.745,126,362
1642.764,83,331
1642.784,81,281
1642.803,98,315
1642.822,51,275
1642.841,51,275
1642.860,37,232
1642.879,46,303
1642.899,13,256
1642.918,19,250
1642.937,18,250
1642.956,12,247
1642.975,10,267
1642.995,8,199
1643.014,10,248
1643.033,11,248
1643.052,11,273
1643.071,8,257
1643.090,11,234
1643.110,8,265
1643.129,1,216
1643.148,2,244
1643.167,4,231
1643.186,8,264
1643.205,3,211
1643.225,2,224
1643.244,9,218
1643.263,9,212
1643.282,6,203
1643.301,7,247
1643.321,5,250
1643.340,9,233
1643.359,13,223
1643.378,15,249
1643.397,3,217
1643.416,3,211
1643.436,3,243
1643.455,2,208
1643.474,2,205
1643.493,3,219
1643.512,4,209
1643.532,9,229
1643.551,7,230
1643.570,11,214
1643.589,8,218
1643.608,27,285
1643.627,24,295
1643.647,26,308
1643.666,28,285
1643.685,31,313
1643.704,52,302
1643.723,61,328
1643.742,51,318
1643.762,73,354
1643.781,59,314
1643.800,67,344
1643.819,73,387
1643.838,59,309
1643.858,56,261
1643.877,27,272
1643.896,14,238
1643.915,14,227
1643.934,14,232
1643.953,15,211
1643.973,25,215
1643.992,8,176
1644.011,18,194
1644.030,10,192
1644.049,19,199
1644.068,11,216
1644.088,7,213
1644.107,5,176
1644.126,7,216
1644.145,16,189
1644.167,7,197
1644.184,4,203
1644.203,7,171
1644.222,5,194
1644.241,5,158
1644.260,8,170
1644.279,17,189
1644.299,17,158
1644.318,17,175
1644.337,17,183
1644.356,14,191
1644.375,27,211
1644.395,40,224
1644.414,34,198
1644.433,24,155
1644.452,20,163
1644.471,20,207
1644.490,29,225
1644.510,17,222
1644.529,32,182
1644.548,40,198
1644.567,44,204
1644.586,61,274
1644.605,48,215
1644.625,58,255
1644.644,67,219
1644.663,67,237
1644.682,85,266
1644.701,85,259
1644.721,66,231
1644.740,76,244
1644.759,95,290
1644.778,58,231
1644.797,36,225
1644.816,18,266
1644.921,23,228
1644.855,25,246
1644.874,15,200
1644.893,4,164
1644.912,15,186
1644.932,11,182
1644.951,2,168
1644.970,6,183
1644.989,4,168
1645.005,8,174
1645.025,1,202
1645.044,3,181
1645.063,1,152
1645.082,5,171
1645.101,7,158
1645.121,4,172
1645.140,5,166
1645.159,4,162
1645.178,2,161
1645.197,4,166
1645.216,6,200
1645.236,1,176
1645.255,8,182
1645.274,2,161
1645.293,4,187
1645.312,6,172
1645.332,3,186
1645.351,3,164
1645.370,4,160
1645.389,3,186
1645.408,2,154
1645.427,2,152
1645.447,15,164
1645.466,6,149
1645.485,18,146
1645.504,15,151
1645.523,24,170
1645.542,26,214
1645.562,41,216
1645.581,62,235
1645.600,74,242
1645.619,108,346
1645.638,124,380
1645.658,142,408
1645.677,151,389
1645.696,117,325
1645.715,107,359
1645.734,122,339
1645.753,98,309
1645.773,114,328
1645.792,115,331
1645.811,57,243
1645.830,63,261
1645.849,67,266
1645.868,42,258
1645.888,17,223
1645.907,20,253
1645.926,12,222
1645.945,13,234
1645.964,9,205
1645.984,6,205
1646.003,2,217
1646.022,0,171
1646.041,2,241
1646.060,0,200
1646.079,1,202
1646.099,0,192
1646.118,5,188
1646.137,1,171
1646.156,1,155
1646.175,5,170
1646.195,5,197
1646.214,3,186
1646.233,5,158
1646.252,2,190
1646.271,4,210
1646.290,8,204
1646.310,6,209
1646.329,5,172
1646.348,6,186
1646.367,9,204
1646.386,5,199
1646.405,5,221
1646.425,9,205
1646.444,13,170
1646.463,22,225
1646.482,10,261
1646.501,25,223
1646.521,28,235
1646.540,50,306
1646.559,58,364
1646.578,82,341
1646.597,106,384
1646.616,132,419
1646.636,195,472
1646.655,207,517
1646.674,238,554
1646.693,149,444
1646.712,157,455
1646.732,175,443
1646.751,114,322
1646.770,115,341
1646.789,106,320
1646.808,67,293
1646.827,52,245
1646.847,55,275
1646.866,27,200
1646.885,37,226
1646.904,34,223
1646.923,32,224
1646.942,26,212
1646.962,29,185
1646.975,27,197
1646.995,16,166
1647.014,10,182
1647.033,6,197
1647.052,18,206
1647.071,16,201
1647.090,9,184
1647.110,13,164
1647.129,2,204
1647.148,1,205
1647.167,4,189
1647.186,2,199
1647.205,5,198
1647.225,4,225
1647.244,7,233
1647.263,14,225
1647.282,9,201
1647.301,6,223
1647.321,7,180
1647.340,3,167
1647.359,11,185
1647.378,5,176
1647.397,1,159
1647.416,12,197
1647.436,7,158
1647.455,17,181
1647.474,16,187
1647.493,9,197
1647.512,47,268
1647.532,97,317
1647.551,128,390
1647.570,151,363
1647.589,209,436
1647.608,191,439
1647.627,248,520
1647.647,161,434
1647.666,208,450
1647.685,267,546
1647.704,184,430
1647.723,215,494
1647.742,212,432
1647.762,183,403
1647.781,172,359
1647.800,163,367
1647.819,114,331
1647.838,120,304
1647.858,84,265
1647.877,66,279
1647.896,60,261
1647.915,18,182
1647.934,17,231
1647.953,15,172
1664.800,,
1664.819,,
1664.838,,
1664.858,,
1664.877,,
1664.896,,
1664.915,,
1664.934,,
1664.953,,
1664.973,,
1664.992,1,237
1665.008,0,349
1665.027,0,394
1665.047,0,415
1665.066,0,474
1665.085,0,409
1665.104,0,393
1665.123,1,462
1665.142,0,393
1665.162,0,396
1665.181,0,441
1665.200,0,433
1665.219,0,363
1665.238,0,353
1665.258,0,344
1665.277,0,382
1665.296,0,344
1665.315,2,398
1665.334,0,388
1665.353,9,347
1665.373,3,353
1665.392,14,385
1665.411,17,399
1665.430,43,405
1665.449,112,558
1665.468,168,611
1665.488,267,684
1665.507,470,1006
1665.526,725,1268
1665.545,1089,1761
1665.564,1843,2785
1665.584,2010,3014
1665.603,2817,4030
1665.622,3880,5319
1665.641,4237,5568
1665.660,6102,7496
1665.679,7000,8252
1665.699,6553,7690
1665.718,7163,8285
1665.737,5544,6460
1665.756,4934,5719
1665.775,4331,5076
1665.795,2668,3219
1665.814,1423,1805
1665.833,1032,1388
1665.852,1414,1787
1665.871,1050,1359
1665.899,650,905
1665.910,330,544
1665.929,211,428
1665.948,243,442
1665.967,281,526
1665.986,152,330
1666.005,70,253
1666.025,89,265
1666.044,158,375
1666.063,79,272
1666.082,56,227
1666.101,52,234
1666.121,59,249
1666.140,69,252
1666.159,42,237
1666.178,28,238
1666.197,29,205
1666.216,33,233
1666.236,17,225
1666.255,26,211
1666.274,28,195
1666.293,41,214
1666.312,24,215
1666.332,41,213
1666.351,54,234
1666.370,59,236
1666.389,32,203
1666.408,20,201
1666.427,27,190
1666.447,30,197
1666.466,23,179
1666.485,34,223
1666.504,35,222
1666.523,33,247
1666.542,51,294
1666.562,49,326
1666.581,39,341
1666.600,42,336
1666.619,48,332
1666.638,43,285
1666.658,30,266
1666.677,103,704
1666.696,0,0
1666.715,0,0
1666.734,31,256
1666.753,23,224
1666.773,13,259
1666.792,24,240
1666.811,16,205
1666.830,14,220
1666.849,10,213
1666.868,3,243
1666.888,7,235
1666.907,7,247
1666.926,2,246
1666.945,4,260
1666.964,3,223
